Ticker,Date,Time,Open,High,Low,Close,Volume
SPY,3/25/1998,12:30,74.82,74.93,74.76,74.85,142425
SPY,3/25/1998,13:00,74.89,74.97,74.8,74.8,122082
SPY,3/25/1998,13:30,74.87,74.87,74.51,74.61,338464
SPY,3/25/1998,14:00,74.61,74.7,74.13,74.28,679602
SPY,3/25/1998,14:30,74.32,74.36,73.9,73.96,492476
SPY,3/25/1998,15:00,73.98,74.07,73.52,73.73,1494645
SPY,3/25/1998,15:30,73.77,74.28,73.71,74.19,616182
SPY,3/25/1998,16:00,74.28,74.3,74.17,74.17,163365
SPY,3/25/1998,17:00,74.17,74.17,74.17,74.17,7426
SPY,3/26/1998,9:30,73.98,74.24,73.9,74.15,643064
SPY,3/26/1998,10:00,74.13,74.13,73.86,74.03,514451
SPY,3/26/1998,10:30,74.03,74.11,73.81,74.07,300443
SPY,3/26/1998,11:00,74.03,74.17,73.96,74.17,121929
SPY,3/26/1998,11:30,74.09,74.11,73.98,73.98,119851
SPY,3/26/1998,12:00,74.03,74.07,73.9,73.94,91189
SPY,3/26/1998,12:30,74.05,74.07,73.92,74,82430
SPY,3/26/1998,13:00,74.07,74.11,73.98,74.09,83763
SPY,3/26/1998,13:30,74.11,74.11,73.98,74.07,199457
SPY,3/26/1998,14:00,74.11,74.17,74.07,74.17,186536
SPY,3/26/1998,14:30,74.19,74.32,73.9,74.24,697569
SPY,3/26/1998,15:00,74.24,74.57,74.19,74.51,1110287
SPY,3/26/1998,15:30,74.49,74.53,74.09,74.15,395491
SPY,3/26/1998,16:00,74.15,74.15,74,74.13,246384
SPY,3/27/1998,9:30,74.57,74.59,74.34,74.42,556927
SPY,3/27/1998,10:00,74.4,74.57,74.3,74.34,301929
SPY,3/27/1998,10:30,74.4,74.45,74.03,74.07,179850
SPY,3/27/1998,11:00,74.07,74.07,73.69,73.9,523659
SPY,3/27/1998,11:30,73.81,73.84,73.39,73.73,468120
SPY,3/27/1998,12:00,73.73,73.88,73.73,73.81,68318
SPY,3/27/1998,12:30,73.9,74.07,73.88,73.98,184750
SPY,3/27/1998,13:00,73.98,74.07,73.79,74.07,120742
SPY,3/27/1998,13:30,74.03,74.17,73.94,74.03,253957
SPY,3/27/1998,14:00,74.07,74.07,73.73,73.73,108863
SPY,3/27/1998,14:30,73.73,73.9,73.73,73.9,218466
SPY,3/27/1998,15:00,73.92,73.92,73.5,73.84,381981
SPY,3/27/1998,15:30,73.9,73.94,73.73,73.75,297325
SPY,3/27/1998,16:00,73.81,73.86,73.73,73.81,151633
SPY,3/30/1998,9:30,73.81,74.13,73.73,73.86,1085639
SPY,3/30/1998,10:00,73.84,74.05,73.77,74.03,358365
SPY,3/30/1998,10:30,73.94,74,73.84,73.9,197526
SPY,3/30/1998,11:00,73.88,73.96,73.77,73.9,126981
SPY,3/30/1998,11:30,73.9,73.96,73.75,73.9,104701
SPY,3/30/1998,12:00,73.81,73.9,73.63,73.73,457572
SPY,3/30/1998,12:30,73.75,73.77,73.58,73.73,135595
SPY,3/30/1998,13:00,73.75,73.79,73.67,73.79,177625
SPY,3/30/1998,13:30,73.81,73.81,73.6,73.69,158763
SPY,3/30/1998,14:00,73.65,73.75,73.58,73.67,217277
SPY,3/30/1998,14:30,73.6,73.79,73.6,73.67,441979
SPY,3/30/1998,15:00,73.67,73.71,73.54,73.63,177773
SPY,3/30/1998,15:30,73.58,73.71,73.37,73.63,456235
SPY,3/30/1998,16:00,73.71,73.77,73.63,73.77,493660
SPY,3/31/1998,9:30,74.17,74.32,74.09,74.21,983311
SPY,3/31/1998,10:00,74.17,74.57,74.15,74.45,1764638
SPY,3/31/1998,10:30,74.49,74.49,74.38,74.42,274457
SPY,3/31/1998,11:00,74.47,74.49,74.4,74.49,113170
SPY,3/31/1998,11:30,74.4,74.66,74.4,74.66,510295
SPY,3/31/1998,12:00,74.66,74.87,74.61,74.74,894502
SPY,3/31/1998,12:30,74.74,74.82,74.7,74.76,329258
SPY,3/31/1998,13:00,74.68,74.78,74.57,74.61,509404
SPY,3/31/1998,13:30,74.61,74.66,74.53,74.61,149109
SPY,3/31/1998,14:00,74.59,74.66,74.28,74.42,465296
SPY,3/31/1998,14:30,74.42,74.74,74.4,74.59,358959
SPY,3/31/1998,15:00,74.61,74.7,74.15,74.28,550835
SPY,3/31/1998,15:30,74.19,74.24,73.9,74.07,1191230
SPY,3/31/1998,16:00,74.13,74.17,74.03,74.03,387324
SPY,4/1/1998,9:30,74.29,74.31,73.68,73.87,613718
SPY,4/1/1998,10:00,73.93,74.06,73.78,73.93,633617
SPY,4/1/1998,10:30,73.95,74.22,73.95,74.22,244417
SPY,4/1/1998,11:00,74.16,74.31,74.1,74.22,428847
SPY,4/1/1998,11:30,74.12,74.27,74.08,74.22,106321
SPY,4/1/1998,12:00,74.25,74.46,74.25,74.44,204622
SPY,4/1/1998,12:30,74.41,74.48,74.31,74.46,220657
SPY,4/1/1998,13:00,74.37,74.48,74.25,74.35,73797
SPY,4/1/1998,13:30,74.37,74.37,74.16,74.25,83299
SPY,4/1/1998,14:00,74.25,74.37,74.18,74.35,67562
SPY,4/1/1998,14:30,74.31,74.56,74.31,74.56,221997
SPY,4/1/1998,15:00,74.58,74.58,74.39,74.54,354599
SPY,4/1/1998,15:30,74.54,74.79,74.54,74.73,917684
SPY,4/1/1998,16:00,74.73,74.73,74.58,74.62,154432
SPY,4/2/1998,9:30,74.7,74.78,74.57,74.61,650638
SPY,4/2/1998,10:00,74.61,74.87,74.61,74.87,366236
SPY,4/2/1998,10:30,74.87,75.01,74.85,74.95,531528
SPY,4/2/1998,11:00,74.99,75.06,74.91,74.95,217870
SPY,4/2/1998,11:30,74.99,75.06,74.91,74.95,556632
SPY,4/2/1998,12:00,74.99,75.06,74.93,75.04,432921
SPY,4/2/1998,12:30,75.04,75.04,74.95,74.99,58070
SPY,4/2/1998,13:00,74.99,75.14,74.95,75.14,156089
SPY,4/2/1998,13:30,75.14,75.29,75.14,75.18,507771
SPY,4/2/1998,14:00,75.22,75.22,75.1,75.18,134703
SPY,4/2/1998,14:30,75.18,75.43,75.14,75.41,514156
SPY,4/2/1998,15:00,75.46,75.58,75.39,75.43,1017915
SPY,4/2/1998,15:30,75.37,75.58,75.31,75.43,481930
SPY,4/2/1998,16:00,75.5,75.54,75.43,75.43,136483
SPY,4/3/1998,9:30,75.65,75.71,75.31,75.71,1517665
SPY,4/3/1998,10:00,75.71,75.92,75.6,75.73,707970
SPY,4/3/1998,10:30,75.75,75.83,75.65,75.75,368762
SPY,4/3/1998,11:00,75.79,75.86,75.52,75.62,238516
SPY,4/3/1998,11:30,75.69,75.73,75.52,75.58,255001
SPY,4/3/1998,12:00,75.56,75.67,75.41,75.6,274752
SPY,4/3/1998,12:30,75.56,75.6,75.41,75.58,361932
SPY,4/3/1998,13:00,75.52,75.81,75.52,75.73,447919
SPY,4/3/1998,13:30,75.75,75.9,75.75,75.86,218910
SPY,4/3/1998,14:00,75.81,75.96,75.69,75.96,185940
SPY,4/3/1998,14:30,75.83,75.86,75.54,75.58,283813
SPY,4/3/1998,15:00,75.65,75.77,75.5,75.56,234950
SPY,4/3/1998,15:30,75.5,75.69,75.41,75.54,214307
SPY,4/3/1998,16:00,75.62,75.81,75.52,75.81,156534
SPY,4/6/1998,9:30,76.26,76.34,76.05,76.3,928513
SPY,4/6/1998,10:00,76.26,76.32,75.96,76.13,497674
SPY,4/6/1998,10:30,76.09,76.15,75.77,75.86,347078
SPY,4/6/1998,11:00,75.94,75.94,75.67,75.88,314256
SPY,4/6/1998,11:30,75.83,75.9,75.67,75.83,470790
SPY,4/6/1998,12:00,75.77,75.81,75.54,75.65,602817
SPY,4/6/1998,12:30,75.65,75.79,75.5,75.75,293912
SPY,4/6/1998,13:00,75.71,75.81,75.65,75.75,329552
SPY,4/6/1998,13:30,75.69,75.83,75.62,75.75,242822
SPY,4/6/1998,14:00,75.69,75.86,75.69,75.75,279799
SPY,4/6/1998,14:30,75.69,75.75,75.52,75.75,613806
SPY,4/6/1998,15:00,75.75,75.75,75.46,75.71,415989
SPY,4/6/1998,15:30,75.62,75.79,75.58,75.58,597027
SPY,4/6/1998,16:00,75.58,75.6,75.2,75.2,734550
SPY,4/7/1998,9:30,75.25,75.37,75.08,75.1,473909
SPY,4/7/1998,10:00,75.12,75.12,74.89,75.06,671293
SPY,4/7/1998,10:30,74.97,75.25,74.97,75.25,294503
SPY,4/7/1998,11:00,75.25,75.31,75.12,75.25,316631
SPY,4/7/1998,11:30,75.25,75.25,75.06,75.12,258420
SPY,4/7/1998,12:00,75.18,75.2,75.04,75.04,139457
SPY,4/7/1998,12:30,75.01,75.14,74.97,75.14,308763
SPY,4/7/1998,13:00,75.08,75.12,74.89,74.91,412869
SPY,4/7/1998,13:30,74.91,74.91,74.78,74.91,588118
SPY,4/7/1998,14:00,74.89,75.04,74.61,74.61,641137
SPY,4/7/1998,14:30,74.61,74.68,74.32,74.32,1176382
SPY,4/7/1998,15:00,74.24,74.55,74.17,74.45,931482
SPY,4/7/1998,15:30,74.47,74.8,74.45,74.74,1302765
SPY,4/7/1998,16:00,74.74,74.87,74.7,74.7,570441
SPY,4/8/1998,9:30,74.89,74.89,74.57,74.61,892123
SPY,4/8/1998,10:00,74.57,74.7,74.49,74.68,559009
SPY,4/8/1998,10:30,74.66,74.89,74.61,74.8,292574
SPY,4/8/1998,11:00,74.78,74.93,74.68,74.8,364455
SPY,4/8/1998,11:30,74.76,74.85,74.61,74.61,524256
SPY,4/8/1998,12:00,74.7,74.72,74.49,74.57,240893
